13:29-19/03/26 | SESION | Inicio del programa
13:30-19/03/26 | SESION | Fin del programa
13:44-19/03/26 | SESION | Inicio del programa
13:44-19/03/26 | ERROR | Error al crear categoría
13:44-19/03/26 | SESION | Fin del programa
13:45-19/03/26 | SESION | Inicio del programa
13:45-19/03/26 | ERROR | Error al crear categoría
13:45-19/03/26 | ERROR | Error al crear categoría
14:26-19/03/26 | SESION | Inicio del programa
14:27-19/03/26 | ERROR | Error al crear categoría
14:27-19/03/26 | SESION | Fin del programa
14:31-19/03/26 | SESION | Inicio del programa
14:31-19/03/26 | CATEGORIA | Categoría creada
14:32-19/03/26 | CATEGORIA | Categoría creada
14:32-19/03/26 | ERROR | Error al crear marca
14:32-19/03/26 | SESION | Fin del programa
14:33-19/03/26 | SESION | Inicio del programa
14:33-19/03/26 | CATEGORIA | Categoría creada
14:33-19/03/26 | SESION | Fin del programa
14:39-19/03/26 | SESION | Inicio del programa
14:39-19/03/26 | CATEGORIA | Categoría creada
14:39-19/03/26 | SESION | Fin del programa
14:40-19/03/26 | SESION | Inicio del programa
14:41-19/03/26 | CATEGORIA | Categoría creada
14:41-19/03/26 | SESION | Fin del programa
09:30-20/03/26 | SESION | Inicio del programa
09:34-20/03/26 | SESION | Inicio del programa
09:34-20/03/26 | CATEGORIA | Categoría creada
09:34-20/03/26 | SESION | Fin del programa
10:07-20/03/26 | SESION | Inicio del programa
10:07-20/03/26 | ERROR | Error al crear marca
10:07-20/03/26 | ERROR | Error al crear marca
10:07-20/03/26 | ERROR | Error al crear marca
10:08-20/03/26 | SESION | Fin del programa
10:09-20/03/26 | SESION | Inicio del programa
10:09-20/03/26 | ERROR | Error al crear marca
10:09-20/03/26 | SESION | Fin del programa
10:10-20/03/26 | SESION | Inicio del programa
10:10-20/03/26 | ERROR | Error al crear marca
10:10-20/03/26 | SESION | Fin del programa
10:11-20/03/26 | SESION | Inicio del programa
10:11-20/03/26 | ERROR | Error al crear marca
10:11-20/03/26 | SESION | Fin del programa
10:11-20/03/26 | SESION | Inicio del programa
10:11-20/03/26 | ERROR | Error al crear marca
10:11-20/03/26 | SESION | Fin del programa
10:14-20/03/26 | SESION | Inicio del programa
10:15-20/03/26 | SESION | Inicio del programa
10:16-20/03/26 | SESION | Inicio del programa
10:16-20/03/26 | CATEGORIA | Marca creada
10:17-20/03/26 | CATEGORIA | Marca creada
10:43-20/03/26 | SESION | Inicio del programa
10:43-20/03/26 | ERROR | Error al crear producto
10:44-20/03/26 | SESION | Fin del programa
10:44-20/03/26 | SESION | Inicio del programa
10:44-20/03/26 | PRODUCTO | Producto creado
10:54-20/03/26 | SESION | Fin del programa
10:54-20/03/26 | SESION | Inicio del programa
10:55-20/03/26 | PRODUCTO | Producto creado
10:56-20/03/26 | SESION | Fin del programa
10:56-20/03/26 | SESION | Inicio del programa
10:57-20/03/26 | ERROR | Error al crear producto
11:01-20/03/26 | SESION | Fin del programa
11:01-20/03/26 | SESION | Inicio del programa
11:02-20/03/26 | PRODUCTO | Producto creado
11:03-20/03/26 | SESION | Fin del programa
11:03-20/03/26 | SESION | Inicio del programa
11:04-20/03/26 | PRODUCTO | Producto creado
11:04-20/03/26 | SESION | Fin del programa
11:04-20/03/26 | SESION | Inicio del programa
11:05-20/03/26 | PRODUCTO | Producto creado
11:05-20/03/26 | SESION | Fin del programa
11:07-20/03/26 | SESION | Inicio del programa
11:07-20/03/26 | PRODUCTO | Producto creado
11:07-20/03/26 | SESION | Fin del programa
11:07-20/03/26 | SESION | Inicio del programa
11:11-20/03/26 | SESION | Inicio del programa
11:11-20/03/26 | PRODUCTO | Producto creado
17:00-20/03/26 | SESION | Inicio del programa
17:00-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:01-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:01-20/03/26 | PRODUCTO | Producto creado
17:02-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:02-20/03/26 | SESION | Fin del programa
17:02-20/03/26 | SESION | Inicio del programa
17:02-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:02-20/03/26 | SESION | Fin del programa
17:18-20/03/26 | SESION | Inicio del programa
17:25-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:25-20/03/26 | SESION | Fin del programa
17:25-20/03/26 | SESION | Inicio del programa
17:25-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:26-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:26-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:26-20/03/26 | CATEGORIA | Categoría creada
17:27-20/03/26 | PRODUCTO | Producto creado
17:27-20/03/26 | PRODUCTO | Búsqueda por descripción realizada
17:27-20/03/26 | SESION | Fin del programa
12:50-22/03/26 | SESION | Inicio del programa
12:51-22/03/26 | PRODUCTO | Búsqueda por descripción realizada
12:52-22/03/26 | CATEGORIA | Categoría creada
12:52-22/03/26 | SESION | Fin del programa
12:53-22/03/26 | SESION | Inicio del programa
12:53-22/03/26 | CATEGORIA | Categoría creada
12:53-22/03/26 | CATEGORIA | Marca creada
12:54-22/03/26 | PRODUCTO | Producto creado
12:55-22/03/26 | SESION | Inicio del programa
12:56-22/03/26 | CATEGORIA | Categoría creada
12:56-22/03/26 | CATEGORIA | Marca creada
12:56-22/03/26 | PRODUCTO | Producto creado
12:57-22/03/26 | PRODUCTO | Búsqueda por descripción realizada
12:57-22/03/26 | PRODUCTO | Búsqueda por descripción realizada
13:22-22/03/26 | SESION | Fin del programa
